Building;IČO;Název;Adresa;
D;61064751;PRONTRA CORPORATION, spol. s r.o. v likvidaci;Jemnická 1138/1, Praha 4;
Delta;25160621;Sympulse s.r.o.;Za Brumlovkou 1559/5;
Delta;5447852;UAVONIC CZ, s.r.o.;Za Brumlovkou 1559/5;
Delta II;3840387;Restaurace Vyskočilka s.r.o.;Vyskočilova 1561/4a, Praha 4;
Gamma;26700000;Nadace O2;Za Brumlovkou 266/2, 140 00  Praha 4;
Gamma;28435575;INTENS Corporation s.r.o.;Za Brumlovkou 266/2, 140 00  Praha 4;
Gamma;60193336;O2 Czech Republic a.s.;Za Brumlovkou 266/2, 140 00  Praha 4;
Gamma;60456639;MUDr. Denis KRUPKA;Za Brumlovkou 266/2, 140 00  Praha 4;
Gamma;2819678;O2 IT Services s.r.o.;Za Brumlovkou 266/2, 140 00  Praha 4;
Gamma;3998380;O2 TV s.r.o.;Za Brumlovkou 266/2, 140 00  Praha 4;
Gamma;5423716;O2 Financial Services s.r.o.;Za Brumlovkou 266/2, 140 00  Praha 4;
Gamma;6321399;O2 CRM Services s.r.o.;Za Brumlovkou 266/2, 140 00  Praha 4;
Gamma;8666202;Ing. Ivana Koláčková;Za Brumlovkou 266/2, 140 00  Praha 4;
Villas;;DFG Hotel Management Praha ;Praha 4, Michle, Želetavská 1449/9;
D;1051717;"MUDr. Monika Vondráková	";Jemnická 1138/1, Michle, 14000 Praha 4;
D;10988157;FBF Czech, s.r.o.;Jemnická 1138/1, Michle, 14000 Praha 4;
Filadelfie;"	03623068";Půdy Libeň s.r.o.;Želetavská 1525/1;
Gamma;027 38 252;Nej Kanál s.r.o.;Za Brumlovkou 266/2;
